ID, Antenna, Switches, Position, Value, Value decimal
169, 10, 1111, 01, 0000000000000001, 1
170, 10, 1111, 01, 0000000000000000, 0
171, 10, 1111, 01, 0000000000000001, 1
172, 10, 1111, 01, 0000000000000001, 1
173, 10, 1111, 01, 0000000000000000, 0
174, 10, 1111, 01, 0000000000000000, 0
175, 10, 1111, 01, 0000000000000000, 0
176, 10, 1111, 01, 1111111111111111, -1
177, 10, 1111, 01, 0000000000000000, 0
178, 10, 1111, 01, 0000000000000000, 0
179, 10, 1111, 01, 1111111111111111, -1
180, 10, 1111, 01, 0000000000000001, 1
181, 10, 1111, 01, 0000000000000001, 1
182, 10, 1111, 01, 1111111111111111, -1
183, 10, 1111, 01, 0000000000000001, 1
184, 10, 1111, 01, 0000000000000001, 1
185, 10, 1111, 01, 1111111111111111, -1
186, 10, 1111, 01, 0000000000000001, 1
187, 10, 1111, 01, 0000000000000001, 1
188, 10, 1111, 01, 0000000000000000, 0
189, 10, 1111, 01, 0000000000000000, 0
190, 10, 1111, 01, 0000000000000010, 2
191, 10, 1111, 01, 0000000000000010, 2
192, 10, 1111, 01, 0000000000000001, 1
193, 10, 1111, 01, 0000000000000001, 1
194, 10, 1111, 01, 0000000000000001, 1
195, 10, 1111, 01, 0000000000000010, 2
196, 10, 1111, 01, 0000000000000010, 2
197, 10, 1111, 01, 0000000000000000, 0
198, 10, 1111, 01, 0000000000000001, 1
199, 10, 1111, 01, 1111111111111101, -3
200, 10, 1111, 01, 1111111111111111, -1
201, 10, 1111, 01, 0000000000000001, 1
202, 10, 1111, 01, 0000000000000010, 2
203, 10, 1111, 01, 0000000000000001, 1
204, 10, 1111, 01, 1111111111111111, -1
205, 10, 1111, 01, 0000000000000001, 1
206, 10, 1111, 01, 0000000000000000, 0
207, 10, 1111, 01, 0000000000000001, 1
208, 10, 1111, 01, 0000000000000001, 1
209, 10, 1111, 01, 0000000000000000, 0
210, 10, 1111, 01, 0000000000000000, 0
211, 10, 1111, 01, 0000000000000000, 0
212, 10, 1111, 01, 0000000000000000, 0
213, 10, 1111, 01, 0000000000000000, 0
214, 10, 1111, 01, 0000000000000001, 1
215, 10, 1111, 01, 0000000000000001, 1
216, 10, 1111, 01, 1111111111111111, -1
217, 10, 1111, 01, 0000000000000000, 0
218, 10, 1111, 01, 0000000000000001, 1
219, 10, 1111, 01, 0000000000000001, 1
220, 10, 1111, 01, 0000000000000001, 1
221, 10, 1111, 01, 0000000000000001, 1
222, 10, 1111, 01, 0000000000000000, 0
223, 10, 1111, 01, 0000000000000010, 2
224, 10, 1111, 01, 0000000000000001, 1
225, 10, 1111, 01, 0000000000000001, 1
226, 10, 1111, 01, 0000000000000010, 2
227, 10, 1111, 01, 0000000000000010, 2
228, 10, 1111, 01, 0000000000000000, 0
229, 10, 1111, 01, 0000000000000000, 0
230, 10, 1111, 01, 1111111111111111, -1
231, 10, 1111, 01, 0000000000000001, 1
232, 10, 1111, 01, 0000000000000001, 1
233, 10, 1111, 01, 0000000000000001, 1
234, 10, 1111, 01, 0000000000000010, 2
235, 10, 1111, 01, 0000000000000001, 1
236, 10, 1111, 01, 0000000000000010, 2
237, 10, 1111, 01, 0000000000000001, 1
238, 10, 1111, 01, 0000000000000010, 2
239, 10, 1111, 01, 0000000000000000, 0
240, 10, 1111, 01, 0000000000000011, 3
241, 10, 1111, 01, 0000000000000001, 1
242, 10, 1111, 01, 0000000000000001, 1
243, 10, 1111, 01, 0000000000000001, 1
244, 10, 1111, 01, 0000000000000001, 1
245, 10, 1111, 01, 0000000000000001, 1
246, 10, 1111, 01, 0000000000000001, 1
247, 10, 1111, 01, 0000000000000000, 0
248, 10, 1111, 01, 0000000000000001, 1
249, 10, 1111, 01, 0000000000000000, 0
250, 10, 1111, 01, 1111111111111110, -2
251, 10, 1111, 01, 1111111111111111, -1
252, 10, 1111, 01, 1111111111111111, -1
253, 10, 1111, 01, 1111111111111111, -1
254, 10, 1111, 01, 1111111111111111, -1
255, 10, 1111, 01, 1111111111111110, -2
256, 10, 1111, 01, 0000000000000001, 1
257, 10, 1111, 01, 1111111111111111, -1
258, 10, 1111, 01, 0000000000000010, 2
259, 10, 1111, 01, 0000000000000001, 1
260, 10, 1111, 01, 0000000000000001, 1
261, 10, 1111, 01, 0000000000000000, 0
262, 10, 1111, 01, 0000000000000000, 0
263, 10, 1111, 01, 1111111111111111, -1
264, 10, 1111, 01, 0000000000000000, 0
265, 10, 1111, 01, 0000000000000000, 0
266, 10, 1111, 01, 0000000000000001, 1
267, 10, 1111, 01, 0000000000000001, 1
268, 10, 1111, 01, 0000000000000000, 0
269, 10, 1111, 01, 0000000000000000, 0
270, 10, 1111, 01, 0000000000000001, 1
271, 10, 1111, 01, 1111111111111110, -2
272, 10, 1111, 01, 0000000000000000, 0
273, 10, 1111, 01, 1111111111111111, -1
274, 10, 1111, 01, 0000000000000000, 0
275, 10, 1111, 01, 0000000000000000, 0
276, 10, 1111, 01, 0000000000000000, 0
277, 10, 1111, 01, 0000000000000000, 0
278, 10, 1111, 01, 0000000000000000, 0
279, 10, 1111, 01, 0000000000000000, 0
280, 10, 1111, 01, 1111111111111111, -1
281, 10, 1111, 01, 0000000000000011, 3
282, 10, 1111, 01, 0000000000000000, 0
283, 10, 1111, 01, 1111111111111111, -1
284, 10, 1111, 01, 0000000000000000, 0
285, 10, 1111, 01, 0000000000000001, 1
286, 10, 1111, 01, 0000000000000000, 0
287, 10, 1111, 01, 0000000000000001, 1
288, 10, 1111, 01, 0000000000000001, 1
289, 10, 1111, 01, 1111111111111111, -1
290, 10, 1111, 01, 0000000000000001, 1
291, 10, 1111, 01, 0000000000000010, 2
292, 10, 1111, 01, 0000000000000011, 3
293, 10, 1111, 01, 0000000000000000, 0
294, 10, 1111, 01, 0000000000000010, 2
295, 10, 1111, 01, 1111111111111111, -1
296, 10, 1111, 01, 0000000000000000, 0
297, 10, 1111, 01, 1111111111111111, -1
298, 10, 1111, 01, 1111111111111111, -1
299, 10, 1111, 01, 1111111111111111, -1
300, 10, 1111, 01, 1111111111111111, -1
301, 10, 1111, 01, 1111111111111111, -1
302, 10, 1111, 01, 0000000000000001, 1
303, 10, 1111, 01, 0000000000000001, 1
304, 10, 1111, 01, 0000000000000000, 0
305, 10, 1111, 01, 1111111111111111, -1
306, 10, 1111, 01, 1111111111111111, -1
307, 10, 1111, 01, 0000000000000001, 1
308, 10, 1111, 01, 0000000000000001, 1
309, 10, 1111, 01, 0000000000000010, 2
310, 10, 1111, 01, 0000000000000001, 1
311, 10, 1111, 01, 0000000000000001, 1
312, 10, 1111, 01, 0000000000000000, 0
313, 10, 1111, 01, 0000000000000010, 2
314, 10, 1111, 01, 1111111111111111, -1
315, 10, 1111, 01, 0000000000000001, 1
316, 10, 1111, 01, 0000000000000000, 0
317, 10, 1111, 01, 0000000000000000, 0
318, 10, 1111, 01, 1111111111111111, -1
319, 10, 1111, 01, 0000000000000001, 1
320, 10, 1111, 01, 0000000000000000, 0
321, 10, 1111, 01, 0000000000000000, 0
322, 10, 1111, 01, 1111111111111111, -1
323, 10, 1111, 01, 0000000000000000, 0
324, 10, 1111, 01, 1111111111111111, -1
325, 10, 1111, 01, 0000000000000001, 1
326, 10, 1111, 01, 0000000000000000, 0
327, 10, 1111, 01, 0000000000000000, 0
328, 10, 1111, 01, 0000000000000001, 1
329, 10, 1111, 01, 0000000000000000, 0
330, 10, 1111, 01, 0000000000000000, 0
331, 10, 1111, 01, 0000000000000000, 0
332, 10, 1111, 01, 0000000000000000, 0
333, 10, 1111, 01, 0000000000000000, 0
334, 10, 1111, 01, 0000000000000000, 0
335, 10, 1111, 01, 1111111111111110, -2
336, 10, 1111, 01, 0000000000000000, 0
337, 10, 1111, 01, 0000000000000000, 0
338, 10, 1111, 01, 0000000000000000, 0
339, 10, 1111, 01, 0000000000000001, 1
340, 10, 1111, 01, 0000000000000001, 1
341, 10, 1111, 01, 0000000000000000, 0
342, 10, 1111, 01, 1111111111111111, -1
343, 10, 1111, 01, 1111111111111111, -1
344, 10, 1111, 01, 0000000000000010, 2
345, 10, 1111, 01, 0000000000000010, 2
346, 10, 1111, 01, 0000000000000001, 1
347, 10, 1111, 01, 0000000000000011, 3
348, 10, 1111, 01, 0000000000000000, 0
349, 10, 1111, 01, 0000000000000010, 2
350, 10, 1111, 01, 0000000000000001, 1
351, 10, 1111, 01, 0000000000000011, 3
352, 10, 1111, 01, 0000000000000010, 2
353, 10, 1111, 01, 0000000000000001, 1
354, 10, 1111, 01, 0000000000000001, 1
355, 10, 1111, 01, 1111111111111110, -2
356, 10, 1111, 01, 0000000000000001, 1
357, 10, 1111, 01, 0000000000000010, 2
358, 10, 1111, 01, 0000000000000000, 0
359, 10, 1111, 01, 0000000000000010, 2
360, 10, 1111, 01, 0000000000000001, 1
361, 10, 1111, 01, 0000000000000000, 0
362, 10, 1111, 01, 0000000000000000, 0
363, 10, 1111, 01, 0000000000000001, 1
364, 10, 1111, 01, 0000000000000010, 2
365, 10, 1111, 01, 0000000000000001, 1
366, 10, 1111, 01, 0000000000000000, 0
367, 10, 1111, 01, 0000000000000001, 1
368, 10, 1111, 01, 0000000000000001, 1
369, 10, 1111, 01, 0000000000000000, 0
370, 10, 1111, 01, 0000000000000000, 0
371, 10, 1111, 01, 0000000000000001, 1
372, 10, 1111, 01, 0000000000000001, 1
373, 10, 1111, 01, 0000000000000000, 0
374, 10, 1111, 01, 1111111111111110, -2
375, 10, 1111, 01, 0000000000000000, 0
376, 10, 1111, 01, 1111111111111110, -2
377, 10, 1111, 01, 0000000000000000, 0
378, 10, 1111, 01, 0000000000000000, 0
379, 10, 1111, 01, 1111111111111111, -1
380, 10, 1111, 01, 1111111111111111, -1
381, 10, 1111, 01, 0000000000000001, 1
382, 10, 1111, 01, 0000000000000001, 1
383, 10, 1111, 01, 1111111111111111, -1
384, 10, 1111, 01, 0000000000000001, 1
385, 10, 1111, 01, 1111111111111111, -1
386, 10, 1111, 01, 0000000000000001, 1
387, 10, 1111, 01, 0000000000000010, 2
388, 10, 1111, 01, 0000000000000001, 1
389, 10, 1111, 01, 1111111111111111, -1
390, 10, 1111, 01, 0000000000000000, 0
391, 10, 1111, 01, 0000000000000010, 2
392, 10, 1111, 01, 1111111111111111, -1
393, 10, 1111, 01, 0000000000000000, 0
394, 10, 1111, 01, 0000000000000001, 1
395, 10, 1111, 01, 0000000000000000, 0
396, 10, 1111, 01, 1111111111111111, -1
397, 10, 1111, 01, 0000000000000000, 0
398, 10, 1111, 01, 0000000000000010, 2
399, 10, 1111, 01, 0000000000000010, 2
400, 10, 1111, 01, 0000000000000010, 2
401, 10, 1111, 01, 0000000000000010, 2
402, 10, 1111, 01, 0000000000000001, 1
403, 10, 1111, 01, 0000000000000010, 2
404, 10, 1111, 01, 0000000000000010, 2
405, 10, 1111, 01, 0000000000000011, 3
406, 10, 1111, 01, 1111111111111111, -1
407, 10, 1111, 01, 0000000000000010, 2
408, 10, 1111, 01, 0000000000000001, 1
409, 10, 1111, 01, 1111111111111111, -1
410, 10, 1111, 01, 1111111111111110, -2
411, 10, 1111, 01, 0000000000000001, 1
412, 10, 1111, 01, 0000000000000010, 2
413, 10, 1111, 01, 0000000000000000, 0
414, 10, 1111, 01, 0000000000000010, 2
415, 10, 1111, 01, 0000000000000010, 2
416, 10, 1111, 01, 0000000000000011, 3
417, 10, 1111, 01, 1111111111111111, -1
418, 10, 1111, 01, 0000000000000000, 0
419, 10, 1111, 01, 0000000000000000, 0
420, 10, 1111, 01, 0000000000000000, 0
