time realx realy realh kalx kaly kalh gpsx gpsy gpsh kinx kiny kinh imuh
2.90815 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.92515 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.94219 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.95918 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.97617 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
2.99317 0 0 0 0 0 0 0.38934 0.162893 -7.7163 0 0 0 138.778
3.01017 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.02719 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.04419 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.06119 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.0782 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.09518 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.11218 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.12918 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.14618 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.16319 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.18019 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.19718 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.21418 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.23116 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.24821 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.26517 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.2822 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.29917 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.31621 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.33321 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.3502 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.36719 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.38419 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.40118 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.4182 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.43522 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.4522 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.46921 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.48617 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.5032 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.52021 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.53721 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.55421 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.5712 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.58823 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.60521 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.62223 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.63926 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.65621 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.67323 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.69024 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.70722 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.7242 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.7412 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.7582 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.7752 0 0 0 0 0 0 0.123371 -0.365993 -153.303 0 0 0 138.778
3.79219 -6.82121e-13 1.49143e-05 -5.35947e-06 3.842e-13 1.50757e-05 -5.35947e-06 0.123371 -0.365993 -153.303 0 0 0 138.778
3.8092 -4.86987e-12 6.45453e-05 -4.29129e-06 8.21421e-12 6.53516e-05 -4.2913e-06 0.123371 -0.365993 -153.303 0 1.51061e-05 0 138.778
3.82622 -4.65365e-11 0.000168527 -4.16468e-05 1.95828e-11 0.000171376 -4.16468e-05 0.123371 -0.365993 -153.303 0 6.53688e-05 0 138.778
3.84321 -1.69756e-10 0.00034618 -3.79203e-05 5.24211e-11 0.000352321 -3.79203e-05 0.123371 -0.365993 -153.303 0 0.000171241 0 138.778
3.86019 -5.7926e-10 0.000617162 -0.000135243 7.07391e-12 0.000628691 -0.000135243 0.123371 -0.365993 -153.303 0 0.000352139 0 138.778
3.87724 -1.46096e-09 0.00100302 -0.000126608 -1.30266e-10 0.00102124 -0.000126608 0.123371 -0.365993 -153.303 0 0.000629529 0 138.778
3.89424 -3.44465e-09 0.00152105 -0.000312204 -7.58197e-10 0.00154773 -0.000312205 0.123371 -0.365993 -153.303 0 0.00102118 0 138.778
3.91124 -7.00916e-09 0.00219114 -0.000297403 -2.02657e-09 0.00222857 -0.000297403 0.123371 -0.365993 -153.303 0 0.00154728 0 138.778
3.92821 -1.35798e-08 0.00303188 -0.000598168 -4.92101e-09 0.00308029 -0.000598168 0.123371 -0.365993 -153.303 0 0.00222716 0 138.777
3.94521 -2.41619e-08 0.00406579 -0.000574689 -9.86982e-09 0.00412534 -0.00057469 0.123371 -0.365993 -153.303 0 0.00308028 0 138.777
3.96223 -4.08405e-08 0.00527377 -0.00100748 -1.86937e-08 0.00534677 -0.00100748 0.123371 -0.365993 -153.303 0 0.00412683 0 138.777
3.97921 -6.50191e-08 0.00666978 -0.000977203 -3.22306e-08 0.00675832 -0.000977203 0.123371 -0.365993 -153.303 0 0.00534502 0 138.777
3.99621 -9.95318e-08 0.00824035 -0.0015409 -5.3079e-08 0.00835575 -0.0015409 0.123371 -0.365993 -153.303 0 0.00675896 0 138.776
4.01319 -1.46291e-07 0.0100003 -0.00150357 -1.3031e-07 0.0101491 -0.00150357 -0.188986 0.463124 -20.6431 0 0.00835443 0 138.777
4.03021 -2.08872e-07 0.0119366 -0.00220009 -2.29275e-07 0.0121058 -0.0022001 -0.188986 0.463124 -20.6431 0 0.0101516 0 138.776
4.04722 -2.89718e-07 0.0140636 -0.00215549 -3.55437e-07 0.0142602 -0.00215549 -0.188986 0.463124 -20.6431 0 0.0121069 0 138.776
4.06423 -3.92795e-07 0.0163625 -0.00298238 -5.14021e-07 0.0166041 -0.00298238 -0.188986 0.463124 -20.6431 0 0.014261 0 138.775
4.08131 -5.21824e-07 0.0188651 -0.00292577 -7.09612e-07 0.0191493 -0.00292577 -0.188986 0.463124 -20.6431 0 0.0166149 0 138.775
4.09822 -6.7879e-07 0.0215128 -0.00386781 -9.42197e-07 0.0218394 -0.00386782 -0.188986 0.463124 -20.6431 0 0.0191341 0 138.774
4.11522 -8.6967e-07 0.0243663 -0.00379755 -1.22485e-06 0.0247516 -0.00379755 -0.188986 0.463124 -20.6431 0 0.0218383 0 138.774
4.13221 -1.09854e-06 0.027391 -0.00487336 -1.55797e-06 0.0278331 -0.00487336 -0.188986 0.463124 -20.6431 0 0.0247493 0 138.773
4.14922 -1.37013e-06 0.0306106 -0.00479293 -1.95117e-06 0.0311164 -0.00479294 -0.188986 0.463124 -20.6431 0 0.0278335 0 138.773
